Id,Label
1936wineandspirits,1936wineandspirits
5ivespicenyc,5ivespicenyc
__poshhh,__poshhh
airlinkadventures,airlinkadventures
allinikkinash,allinikkinash
ariannaodell,ariannaodell
ariels_eats,ariels_eats
bao_buddy,bao_buddy
brooklyncharm,brooklyncharm
call_me_derik,call_me_derik
carrasnyc,carrasnyc
chi_restaurant_bar,chi_restaurant_bar
chungeats,chungeats
cindy_food_drink,cindy_food_drink
citytaplogan,citytaplogan
comicsinmybirkin,comicsinmybirkin
dkrestaurantnyc,dkrestaurantnyc
elsafoodparadise,elsafoodparadise
erhotpot,erhotpot
fahfahji,fahfahji
feastwithfoo,feastwithfoo
food_ilysm,food_ilysm
fooddrinksnyc,fooddrinksnyc
foodieee.nycc,foodieee.nycc
foodystars,foodystars
fooodologist,fooodologist
glamorousgrub,glamorousgrub
hailey.ra,hailey.ra
hellojennifuh,hellojennifuh
hungryhippie_,hungryhippie_
itsasugarhighh,itsasugarhighh
jerica.feasts,jerica.feasts
johnnyeatsnyc,johnnyeatsnyc
kaseyywagner,kaseyywagner
kiirstinleigh,kiirstinleigh
lamiconyc,lamiconyc
loveskitchennyc,loveskitchennyc
marcosworldnyc,marcosworldnyc
marina.newyorkcity,marina.newyorkcity
marivannanyc,marivannanyc
maxhoffmann,maxhoffmann
ms_new_foodie,ms_new_foodie
mubereats,mubereats
muslimfoodies,muslimfoodies
newyorkcity.adventures,newyorkcity.adventures
newyorkcity.explore,newyorkcity.explore
newyorklocals,newyorklocals
nyc_date_nights,nyc_date_nights
nycfoodie.nyc,nycfoodie.nyc
nycmouth,nycmouth
opentable,opentable
outwithair_foodie_nyc,outwithair_foodie_nyc
pergolanyc,pergolanyc
phirstcuzns,phirstcuzns
piano_pastries,piano_pastries
raicescolombianasnyc,raicescolombianasnyc
righteouseats,righteouseats
robmartinez,robmartinez
siamthai_nyc,siamthai_nyc
skirtsteak.nyc,skirtsteak.nyc
spinx17,spinx17
steakclub7,steakclub7
taleitalei,taleitalei
tastynybites,tastynybites
tedweitz,tedweitz
tetuan4life,tetuan4life
the_fork_lift,the_fork_lift
theeoverthinker,theeoverthinker
theeoverthinkerllc,theeoverthinkerllc
thehungryskipper,thehungryskipper
thequeenfoodie,thequeenfoodie
thevirgosocialclub,thevirgosocialclub
threehotpotbbq,threehotpotbbq
tofueeats,tofueeats
travelicious_d,travelicious_d
trestleastoria,trestleastoria
umami.sushi.and.grill,umami.sushi.and.grill
vonski_travels,vonski_travels
whatsgoinganh,whatsgoinganh
worldeatsjen,worldeatsjen
you_had_me_at_halal,you_had_me_at_halal
zuttonyc,zuttonyc
