Id,Label
jerica.feasts,jerica.feasts
opentable,opentable
piano_pastries,piano_pastries
newyorkcity.adventures,newyorkcity.adventures
food_ilysm,food_ilysm
the_fork_lift,the_fork_lift
hungryhippie_,hungryhippie_
maxhoffmann,maxhoffmann
travelicious_d,travelicious_d
foodieee.nycc,foodieee.nycc
theeoverthinker,theeoverthinker
fahfahji,fahfahji
__poshhh,__poshhh
feastwithfoo,feastwithfoo
whatsgoinganh,whatsgoinganh
airlinkadventures,airlinkadventures
threehotpotbbq,threehotpotbbq
cindy_food_drink,cindy_food_drink
tofueeats,tofueeats
siamthai_nyc,siamthai_nyc
comicsinmybirkin,comicsinmybirkin
nycfoodie.nyc,nycfoodie.nyc
outwithair_foodie_nyc,outwithair_foodie_nyc
itsasugarhighh,itsasugarhighh
spinx17,spinx17
tedweitz,tedweitz
glamorousgrub,glamorousgrub
taleitalei,taleitalei
worldeatsjen,worldeatsjen
erhotpot,erhotpot
chungeats,chungeats
muslimfoodies,muslimfoodies
thehungryskipper,thehungryskipper
steakclub7,steakclub7
bao_buddy,bao_buddy
zuttonyc,zuttonyc
nycmouth,nycmouth
chi_restaurant_bar,chi_restaurant_bar
tastynybites,tastynybites
5ivespicenyc,5ivespicenyc
foodystars,foodystars
ariels_eats,ariels_eats
johnnyeatsnyc,johnnyeatsnyc
ms_new_foodie,ms_new_foodie
fooddrinksnyc,fooddrinksnyc
thequeenfoodie,thequeenfoodie
