Id,Label,Type
Pecking House,Pecking House,restaurant
Ibn Hamido Seafood,Ibn Hamido Seafood,restaurant
Bangklyn East Harlem,Bangklyn East Harlem,restaurant
Osteria Brooklyn,Osteria Brooklyn,restaurant
Momokawa,Momokawa,restaurant
Thai Market,Thai Market,restaurant
Psaraki,Psaraki,restaurant
Desi Galli,Desi Galli,restaurant
Red Chilli,Red Chilli,restaurant
Toka Chef Kitchen,Toka Chef Kitchen,restaurant
Fan Szechuan,Fan Szechuan,restaurant
Aqua,Aqua,restaurant
Fu Yuan Kitchen,Fu Yuan Kitchen,restaurant
White Bear,White Bear,restaurant
Obao,Obao,restaurant
Wagyu Place,Wagyu Place,restaurant
Haswell Green's,Haswell Green's,restaurant
Nur Thai,Nur Thai,restaurant
Cafe Chili,Cafe Chili,restaurant
Mari,Mari,restaurant
Hutong,Hutong,restaurant
Rokstar Chicken,Rokstar Chicken,restaurant
Akino,Akino,restaurant
Nizuc,Nizuc,restaurant
Hortus Nyc,Hortus Nyc,restaurant
Mad For Chicken,Mad For Chicken,restaurant
Yingtao,Yingtao,restaurant
Hupo,Hupo,restaurant
Tsubame,Tsubame,restaurant
Vert Frais,Vert Frais,restaurant
Don Angie,Don Angie,restaurant
Nippon Cha,Nippon Cha,restaurant
Maki Kosaka,Maki Kosaka,restaurant
Sendo,Sendo,restaurant
Milu,Milu,restaurant
Tangy Noodle,Tangy Noodle,restaurant
Omar's Mediterranean Cuisine,Omar's Mediterranean Cuisine,restaurant
Mysttik Masaala,Mysttik Masaala,restaurant
Hyderabadi Zaiqa,Hyderabadi Zaiqa,restaurant
Aba Turkish Restaurant,Aba Turkish Restaurant,restaurant
Blue Blossom,Blue Blossom,restaurant
Soup On Soup,Soup On Soup,restaurant
Lantern,Lantern,restaurant
Sushiichi,Sushiichi,restaurant
Mishik,Mishik,restaurant
Acre,Acre,restaurant
Din Tai Fung,Din Tai Fung,restaurant
Okiboru House Of Udon,Okiboru House Of Udon,restaurant
Taberu Nomu,Taberu Nomu,restaurant
Vida Verde,Vida Verde,restaurant
Fumo,Fumo,restaurant
Misc,Misc,restaurant
Mikado,Mikado,restaurant
Soba Totto,Soba Totto,restaurant
Tomi Jazz,Tomi Jazz,restaurant
Super Taste,Super Taste,restaurant
Bangkok Degree,Bangkok Degree,restaurant
Don Don,Don Don,restaurant
Lunar,Lunar,restaurant
Seoul Salon,Seoul Salon,restaurant
Sappe,Sappe,restaurant
Daori Bbq,Daori Bbq,restaurant
Da Toscano,Da Toscano,restaurant
Gen Korean Bbq House,Gen Korean Bbq House,restaurant
Kimura,Kimura,restaurant
Estiatorio Milos,Estiatorio Milos,restaurant
Thai Villa,Thai Villa,restaurant
Seichou Ramen,Seichou Ramen,restaurant
Udom Thai,Udom Thai,restaurant
Soho Thai,Soho Thai,restaurant
Shogun Omakase,Shogun Omakase,restaurant
Izakaya Nana,Izakaya Nana,restaurant
Veerays,Veerays,restaurant
Kababish,Kababish,restaurant
Barrio Taqueria,Barrio Taqueria,restaurant
Bua Thai Ramen & Robata Grill,Bua Thai Ramen & Robata Grill,restaurant
Nan Xiang Express,Nan Xiang Express,restaurant
Yezo Thai Isankaya,Yezo Thai Isankaya,restaurant
Fiaschetteria Pistoia,Fiaschetteria Pistoia,restaurant
Soothr,Soothr,restaurant
Dangol,Dangol,restaurant
Kyuramen,Kyuramen,restaurant
Gao's Crab & Kabob,Gao's Crab & Kabob,restaurant
Kame,Kame,restaurant
Dagg Thai,Dagg Thai,restaurant
Awesum Dimsum,Awesum Dimsum,restaurant
Via Carota,Via Carota,restaurant
Salt + Charcoal,Salt + Charcoal,restaurant
Yefsi Estiatorio,Yefsi Estiatorio,restaurant
Calle Dao Chelsea,Calle Dao Chelsea,restaurant
Vestry,Vestry,restaurant
Chili,Chili,restaurant
Uluh,Uluh,restaurant
Kraam,Kraam,restaurant
Ziggle,Ziggle,restaurant
Majorelle,Majorelle,restaurant
House Of The Red Pearl,House Of The Red Pearl,restaurant
The Horny Ram,The Horny Ram,restaurant
Shanghai You Garden,Shanghai You Garden,restaurant
Little Alley,Little Alley,restaurant
Ygf Malatang,Ygf Malatang,restaurant
Shanghai Time,Shanghai Time,restaurant
Da Long Yi Hot Pot,Da Long Yi Hot Pot,restaurant
Tsumo Omakase,Tsumo Omakase,restaurant
