Id,Label,borough,rating,review_count,IG_overall_score,IG_review_count,score_diff
pattanian thai,PATTANIAN THAI,Queens,4.4,22.0,3.53,1,-0.8700000000000006
bangklyn east harlem,BANGKLYN EAST HARLEM,Manhattan,4.5,168.0,4.23,1,-0.2699999999999996
earl's beer & cheese,EARL'S BEER & CHEESE,Manhattan,4.3,647.0,3.05,1,-1.25
lucia pizza,LUCIA PIZZA,Queens,4.5,11.0,3.03,1,-1.4700000000000002
tsukimi,TSUKIMI,Manhattan,4.8,79.0,4.62,1,-0.17999999999999972
kura revolving sushi bar,KURA REVOLVING SUSHI BAR,Queens,3.6,91.0,3.47,1,-0.1299999999999999
fiaschetteria pistoia,FIASCHETTERIA PISTOIA,Manhattan,4.1,209.0,4.02,1,-0.08000000000000007
lingo,LINGO,Brooklyn,4.6,107.0,3.97,1,-0.6299999999999994
ai ki ya,AI KI YA,Manhattan,4.3,267.0,3.93,1,-0.36999999999999966
handroll bar rolling,HANDROLL BAR ROLLING,Manhattan,4.3,46.0,3.76,2,-0.54
chalong,CHALONG,Manhattan,4.6,532.0,3.91,4,-0.6899999999999995
junsui,JUNSUI,Brooklyn,4.7,21.0,3.93,1,-0.77
jua,JUA,Manhattan,4.7,448.0,3.97,1,-0.73
kaew jao jorm,KAEW JAO JORM,Brooklyn,4.8,24.0,4.63,1,-0.16999999999999993
don don,DON DON,Manhattan,4.3,89.0,4.3,3,0.0
oxomoco,OXOMOCO,Brooklyn,4.2,723.0,3.53,1,-0.6700000000000004
patsy's italian restaurant,PATSY'S ITALIAN RESTAURANT,Manhattan,4.0,1290.0,3.45,1,-0.5499999999999998
ocean prime,OCEAN PRIME,Manhattan,4.4,901.0,2.75,1,-1.6500000000000004
the nuaa table,THE NUAA TABLE,Brooklyn,4.5,115.0,3.93,1,-0.5699999999999998
baodega,BAODEGA,Manhattan,4.1,369.0,4.23,1,0.13000000000000078
er hotpot,ER HOTPOT,Manhattan,4.1,44.0,3.51,5,-0.5899999999999999
hi-collar,HI-COLLAR,Manhattan,4.0,927.0,4.32,1,0.3200000000000003
sartiano's,SARTIANO'S,Manhattan,4.4,110.0,3.57,1,-0.8300000000000005
thai market,THAI MARKET,Manhattan,3.9,1138.0,4.02,1,0.11999999999999966
fu yuan kitchen,FU YUAN KITCHEN,Queens,3.0,74.0,3.28,1,0.2799999999999998
goku kitchen,GOKU KITCHEN,Staten Island,4.6,65.0,4.0,1,-0.5999999999999996
water & wheat,WATER & WHEAT,Manhattan,4.7,95.0,3.03,1,-1.6700000000000004
mark's off madison,MARK'S OFF MADISON,Manhattan,3.7,257.0,3.67,1,-0.03000000000000025
rice thief,RICE THIEF,Queens,4.3,138.0,3.93,1,-0.36999999999999966
momo crave,MOMO CRAVE,Queens,4.3,286.0,3.95,1,-0.34999999999999964
osteria brooklyn,OSTERIA BROOKLYN,Queens,4.4,306.0,3.83,1,-0.5700000000000003
da toscano,DA TOSCANO,Manhattan,4.6,208.0,4.23,1,-0.3699999999999992
momokawa,MOMOKAWA,Manhattan,4.1,265.0,4.12,1,0.020000000000000462
cacio e pepe,CACIO E PEPE,Manhattan,4.4,102.0,3.93,1,-0.4700000000000002
toka chef kitchen,TOKA CHEF KITCHEN,Manhattan,4.9,12.0,3.99,3,-0.9100000000000001
carnitas ramirez,CARNITAS RAMIREZ,Manhattan,4.0,43.0,3.1,1,-0.8999999999999999
tamarind island,TAMARIND ISLAND,Queens,3.8,30.0,3.53,1,-0.27
sendo,SENDO,Manhattan,4.4,125.0,4.14,1,-0.2600000000000007
jackson hole,JACKSON HOLE,Manhattan,3.8,699.0,3.09,1,-0.71
izakaya sushi & lounge,IZAKAYA SUSHI & LOUNGE,Brooklyn,4.1,32.0,3.53,1,-0.5699999999999998
atlas kitchen,ATLAS KITCHEN,Manhattan,3.8,221.0,3.15,1,-0.6499999999999999
bangkok degree,BANGKOK DEGREE,Brooklyn,4.4,189.0,4.12,1,-0.28000000000000025
yefsi estiatorio,YEFSI ESTIATORIO,Manhattan,3.9,398.0,4.14,1,0.23999999999999977
guac time,GUAC TIME,Brooklyn,4.6,27.0,3.93,1,-0.6699999999999995
tong,TONG,Brooklyn,4.4,198.0,4.5,1,0.09999999999999964
wu's wonton king,WU'S WONTON KING,Manhattan,3.7,573.0,3.97,1,0.27
do not disturb,DO NOT DISTURB,Manhattan,3.7,67.0,3.97,1,0.27
the residence of mr. moto,THE RESIDENCE OF MR. MOTO,Brooklyn,4.2,55.0,4.63,1,0.4299999999999997
chick it out,CHICK IT OUT,Queens,4.7,79.0,4.23,1,-0.46999999999999975
zen astoria,ZEN ASTORIA,Queens,4.3,52.0,4.67,1,0.3700000000000001
chili,CHILI,Manhattan,4.6,885.0,3.78,3,-0.8199999999999998
wonderland,WONDERLAND,Manhattan,3.7,17.0,4.38,2,0.6799999999999997
ros niyom thai restaurant,ROS NIYOM THAI RESTAURANT,Queens,4.3,66.0,4.01,1,-0.29000000000000004
taiyaki nyc,TAIYAKI NYC,Manhattan,4.3,3418.0,3.43,1,-0.8699999999999997
yingtao,YINGTAO,Manhattan,4.5,43.0,4.25,2,-0.25
kababish,KABABISH,Queens,3.6,230.0,3.15,1,-0.4500000000000002
vert frais,VERT FRAIS,Queens,4.3,222.0,4.02,4,-0.28000000000000025
aliada,ALIADA,Queens,4.1,523.0,3.5,1,-0.5999999999999996
ziggle,ZIGGLE,Queens,4.2,141.0,4.23,1,0.03000000000000025
wagyu place,WAGYU PLACE,Queens,3.6,72.0,3.94,3,0.33999999999999986
panda harlem,PANDA HARLEM,Manhattan,3.4,174.0,3.03,1,-0.3700000000000001
shanghai time,SHANGHAI TIME,Manhattan,4.2,115.0,4.02,1,-0.1800000000000006
bora bora smoothie cafe,BORA BORA SMOOTHIE CAFE,Bronx,4.7,3.0,3.91,1,-0.79
reyna restaurant,REYNA RESTAURANT,Bronx,4.6,9.0,4.17,3,-0.4299999999999997
cafe joah,CAFE JOAH,Manhattan,4.2,48.0,3.83,1,-0.3700000000000001
atti,ATTI,Brooklyn,4.2,118.0,4.1,2,-0.10000000000000053
sereneco,Sereneco,Brooklyn,4.1,86.0,4.23,1,0.13000000000000078
han dynasty,HAN DYNASTY,Brooklyn,3.8,762.0,3.47,1,-0.3299999999999996
hupo,HUPO,Queens,4.3,286.0,3.93,2,-0.36999999999999966
zen fusion cuisine,ZEN FUSION CUISINE,Queens,3.4,265.0,3.64,2,0.2400000000000002
the monster crab,THE MONSTER CRAB,Queens,3.9,180.0,3.95,1,0.050000000000000266
milu,MILU,Manhattan,4.4,256.0,4.0,2,-0.40000000000000036
rule of thirds,RULE OF THIRDS,Brooklyn,4.0,783.0,4.23,1,0.23000000000000043
akino,AKINO,Queens,4.2,1253.0,3.68,2,-0.52
white bear,WHITE BEAR,Queens,4.0,1244.0,3.9,2,-0.10000000000000009
nizuc,NIZUC,Manhattan,4.7,28.0,4.04,3,-0.6600000000000001
malii gramercy,MALII GRAMERCY,Manhattan,4.5,216.0,3.85,2,-0.6499999999999999
nom wah,NOM WAH,Manhattan,3.5,2.0,3.35,1,-0.1499999999999999
imm thai,IMM THAI,Manhattan,4.3,117.0,4.52,1,0.21999999999999975
ravagh persian grill,RAVAGH PERSIAN GRILL,Manhattan,4.0,1115.0,3.03,1,-0.9700000000000002
nomad tea parlour,NOMAD TEA PARLOUR,Manhattan,3.9,66.0,4.07,3,0.17000000000000037
somtum der,SOMTUM DER,Brooklyn,4.1,955.0,4.23,1,0.13000000000000078
kimura,KIMURA,Manhattan,4.5,483.0,3.91,3,-0.5899999999999999
aqua,AQUA,Manhattan,4.0,68.0,3.89,7,-0.10999999999999988
huuma,HUUMA,Manhattan,4.4,10.0,3.83,1,-0.5700000000000003
crave fishbar,CRAVE FISHBAR,Manhattan,4.4,20.0,3.53,1,-0.8700000000000006
hutong,HUTONG,Manhattan,3.7,671.0,4.07,4,0.3700000000000001
little alley,LITTLE ALLEY,Manhattan,4.0,577.0,4.0,2,0.0
fish cheeks,FISH CHEEKS,Manhattan,4.4,1771.0,4.26,1,-0.14000000000000057
mishik,MISHIK,Manhattan,4.6,44.0,4.38,2,-0.21999999999999975
fumo,FUMO,Manhattan,4.1,315.0,3.47,1,-0.6299999999999994
dante,DANTE,Manhattan,4.0,739.0,4.23,1,0.23000000000000043
maki kosaka,MAKI KOSAKA,Manhattan,4.4,151.0,3.52,2,-0.8800000000000003
haswell green's,HASWELL GREEN'S,Manhattan,4.5,645.0,3.74,3,-0.7599999999999998
kame,KAME,Manhattan,4.4,910.0,4.17,2,-0.23000000000000043
soogil,SOOGIL,Manhattan,4.2,196.0,4.19,2,-0.009999999999999787
westville,WESTVILLE,Manhattan,4.0,608.0,3.61,2,-0.3900000000000001
brooklyn dumpling shop,BROOKLYN DUMPLING SHOP,Manhattan,3.8,487.0,3.92,2,0.1200000000000001
blue ribbon sushi,BLUE RIBBON SUSHI,Manhattan,4.1,1305.0,3.93,1,-0.16999999999999948
bangkok 2 thai,BANGKOK 2 THAI,Manhattan,4.0,244.0,4.39,1,0.3899999999999997
laghman express,LAGHMAN EXPRESS,Brooklyn,4.6,43.0,3.93,1,-0.6699999999999995
acadia,ACADIA,Manhattan,4.1,81.0,3.89,1,-0.20999999999999952
veerays,VEERAYS,Manhattan,3.9,11.0,4.53,1,0.6300000000000003
olle,OLLE,Manhattan,4.4,307.0,3.89,1,-0.5100000000000002
the horny ram,THE HORNY RAM,Manhattan,4.2,799.0,4.2,1,0.0
randazzo's clam bar,RANDAZZO'S CLAM BAR,Brooklyn,3.6,811.0,3.15,1,-0.4500000000000002
the corner store,the corner store,Brooklyn,4.3,41.0,3.77,1,-0.5299999999999998
momoya,MOMOYA,Manhattan,4.1,881.0,4.26,3,0.16000000000000014
izakaya nana,IZAKAYA NANA,Queens,4.4,799.0,4.0,3,-0.40000000000000036
balaboosta,BALABOOSTA,Manhattan,4.2,121.0,3.93,1,-0.27
din tai fung,DIN TAI FUNG,Manhattan,4.2,1344.0,4.08,3,-0.1200000000000001
desi galli,DESI GALLI,Manhattan,3.6,164.0,3.93,1,0.33000000000000007
bua thai ramen & robata grill,BUA THAI RAMEN & ROBATA GRILL,Manhattan,4.5,3237.0,3.68,3,-0.8199999999999998
osaka sushi,OSAKA SUSHI,Bronx,4.0,12.0,4.14,2,0.13999999999999968
truth restaurant and lounge,TRUTH RESTAURANT AND LOUNGE,Queens,4.1,38.0,3.93,1,-0.16999999999999948
bahari estiatorio,BAHARI ESTIATORIO,Queens,4.1,703.0,3.73,1,-0.36999999999999966
mysttik masaala,MYSTTIK MASAALA,Manhattan,4.3,15.0,3.05,1,-1.25
glasserie,GLASSERIE,Brooklyn,3.8,465.0,3.93,1,0.13000000000000034
lantern,LANTERN,Brooklyn,3.6,528.0,4.15,1,0.5500000000000003
albert's bar,ALBERT'S BAR,Manhattan,4.6,122.0,3.45,1,-1.1499999999999995
madre,MADRE,Brooklyn,4.5,218.0,4.1,1,-0.40000000000000036
the clam,THE CLAM,Manhattan,4.1,484.0,3.27,2,-0.8299999999999996
what the fish,WHAT THE FISH,Queens,3.6,93.0,4.1,2,0.49999999999999956
