id,name,size,colour
R_dosa royale,dosa royale,3.6,Brooklyn
R_gammeeok,gammeeok,3.3,Manhattan
R_nishida sho-ten,nishida sho-ten,4.0,Manhattan
R_the graham,the graham,3.9,Brooklyn
R_cava,cava,4.0,Manhattan
R_master wok,master wok,4.0,Brooklyn
R_the halal bros of ny,the halal bros of ny,0.0,Queens
R_han dynasty,han dynasty,3.8,Manhattan
R_radhuni sweets & restaurant,radhuni sweets & restaurant,2.5,Brooklyn
R_sambak sambabjip,sambak sambabjip,5.0,Queens
R_trinidad golden place,trinidad golden place,4.4,Brooklyn
R_baar baar,baar baar,3.9,Manhattan
R_casa publica,casa publica,4.0,Brooklyn
R_chairman sun,chairman sun,3.7,Queens
R_tamarind island,tamarind island,3.8,Queens
R_rosa's pizza,rosa's pizza,4.2,Brooklyn
R_blazin chicken & gyro,blazin chicken & gyro,3.8,Bronx
R_rintintin,rintintin,3.7,Manhattan
R_taqueria coatzingo,taqueria coatzingo,4.0,Queens
R_sen sakana,sen sakana,4.1,Manhattan
R_adoro lei,adoro lei,4.4,Manhattan
R_izakaya fuku,izakaya fuku,4.4,Queens
R_stamatis restaurant,stamatis restaurant,4.0,Queens
R_hainan chicken house,hainan chicken house,3.6,Brooklyn
R_ruma's kitchen,ruma's kitchen,4.0,Queens
R_el gallo negro,el gallo negro,3.6,Queens
R_nana thai street,nana thai street,4.3,Manhattan
R_the greek kitchen,the greek kitchen,3.9,Manhattan
R_mezeh,mezeh,4.1,Manhattan
R_bravo african restaurant,bravo african restaurant,4.0,Bronx
R_long acre tavern,long acre tavern,4.0,Manhattan
R_la palina restaurant,la palina restaurant,4.1,Brooklyn
R_zutto japanese american pub,zutto japanese american pub,4.0,Manhattan
R_forever thai,forever thai,4.4,Brooklyn
R_the kati roll company,the kati roll company,3.7,Manhattan
R_profit chinese restaurant,profit chinese restaurant,4.7,Manhattan
R_angaar,angaar,4.2,Manhattan
R_nora thai,nora thai,3.8,Brooklyn
R_sushi on me,sushi on me,4.8,Queens
R_sakana sushi & hibachi steakhouse,sakana sushi & hibachi steakhouse,4.1,Staten Island
R_pita pan,pita pan,5.0,Queens
R_tikka indian grill,tikka indian grill,4.1,Brooklyn
R_tulcingo restaurant,tulcingo restaurant,3.2,Queens
R_honey's thai pavilion,honey's thai pavilion,3.5,Bronx
R_kailash parbat,kailash parbat,3.7,Manhattan
R_shiawase,shiawase,2.9,Brooklyn
R_kennedy fried chicken,kennedy fried chicken,3.9,Brooklyn
R_tosokchon nyc,tosokchon nyc,4.2,Manhattan
R_sofra mediterranean grill,sofra mediterranean grill,3.6,Queens
R_tlaxcalita la bella,tlaxcalita la bella,3.9,Queens
R_handsome rice,handsome rice,4.4,Manhattan
R_taqueria restaurante mi barrio,taqueria restaurante mi barrio,4.2,Brooklyn
R_750 myrtle diner,750 myrtle diner,4.2,Brooklyn
R_star of siam thai kitchen,star of siam thai kitchen,3.3,Queens
R_indian express,indian express,3.8,Manhattan
R_mughlai indian cuisine,mughlai indian cuisine,4.4,Manhattan
R_halal munchies,halal munchies,0.0,Queens
R_longhorn steakhouse,longhorn steakhouse,3.1,Queens
R_havana social,havana social,3.4,Manhattan
R_khao kang,khao kang,4.2,Queens
R_doaba deli,doaba deli,4.5,Manhattan
R_taqueria milear,taqueria milear,4.1,Brooklyn
R_xcellent soul food,xcellent soul food,2.9,Brooklyn
R_azalea,azalea,3.9,Manhattan
R_caffe buon gusto,caffe buon gusto,3.9,Manhattan
R_dos caminos,dos caminos,3.5,Manhattan
R_spy c cuisine,spy c cuisine,3.8,Queens
R_flower brook mifen house,flower brook mifen house,4.3,Queens
R_loi estiatorio,loi estiatorio,4.7,Manhattan
R_king souvlaki,king souvlaki,4.2,Brooklyn
R_bed stuy fish fry,bed stuy fish fry,2.2,Brooklyn
R_khalil biryani house,khalil biryani house,2.6,Queens
R_sofia's taqueria,sofia's taqueria,5.0,Staten Island
R_bunnan,bunnan,4.6,Brooklyn
R_hello bangladesh,hello bangladesh,3.9,Queens
R_caridad restaurant,caridad restaurant,3.5,Queens
R_estrellita poblana ii,estrellita poblana ii,3.2,Bronx
R_las palmas restaurant,las palmas restaurant,3.9,Manhattan
