id,name,rating,review_count,categories_list,BOROUGH,SCORE,GRADE
MP8Ey2ezsDCSowR-1X6hKg,dosa royale,3.6,301,Indian; Vegetarian; Vegan,Brooklyn,108.0,C
rtFGv0F-GBfsS-cViu-3hA,gammeeok,3.3,556,Korean,Manhattan,79.0,C
9bAyxRD6RsGEUQw424ovQA,nishida sho-ten,4.0,973,Ramen,Manhattan,73.0,C
IzpoR2NGsTJPgpAIYKq4Rg,the graham,3.9,135,Cocktail Bars; Sandwiches; Burgers,Brooklyn,73.0,C
seCOrCJVVhmnjhRAWjVeKA,cava,4.0,184,Mediterranean; Salad,Manhattan,71.0,C
g36kZrN1WJYP_CWyvZn60A,master wok,4.0,1,Chinese,Brooklyn,70.0,C
MU2aH6Jrf4jeDYHpgHLXrw,the halal bros of ny,0.0,0,Mediterranean,Queens,67.0,C
ojbH3wnRu050hRhkmoxRiA,han dynasty,3.8,762,"Szechuan; Beer, Wine & Spirits",Manhattan,65.0,C
vKtrUzVpc5v1xelchSysHw,radhuni sweets & restaurant,2.5,2,Bangladeshi; Pakistani; Indian,Brooklyn,65.0,C
6JSxw-TVBEsK_FBLHgma4g,sambak sambabjip,5.0,2,Korean; Barbeque,Queens,65.0,C
-7PgxPVUGZh__U3CxRFKxg,trinidad golden place,4.4,223,Chinese; Trinidadian,Brooklyn,63.0,C
jYhbUh1TV7SCfPxjIhVpcg,baar baar,3.9,1332,Gastropubs; Indian; Cocktail Bars,Manhattan,62.0,C
yl214H_cUd1intjVAeE1Mw,casa publica,4.0,184,Mexican; Cocktail Bars; Breakfast & Brunch,Brooklyn,62.0,C
lgHmMRBaU-48kGaNz3jYxg,chairman sun,3.7,257,Szechuan; Dim Sum; Seafood,Queens,61.0,C
UBnrFZuqa1nMrV7ncWHBwA,corthaiyou,3.7,258,Thai,Brooklyn,61.0,C
P9Fzj1h9NjF7KtwKC-Otng,tamarind island,3.8,30,Caribbean; Indian,Queens,60.0,C
s5JNxy0eAFgxS2Poi73ODw,mala project,4.0,598,Dim Sum; Szechuan,Manhattan,59.0,C
qIOdughNii7-OW88IFtPQw,rosa's pizza,4.2,344,Pizza; Italian,Brooklyn,59.0,C
NM8KL3qgHpL43rZGE51Tjg,blazin chicken & gyro,3.8,15,Chicken Shop; Mediterranean,Bronx,59.0,C
sgIdJLSXnnMZy2sjm5GUeQ,rintintin,3.7,269,Mediterranean,Manhattan,56.0,C
Yilk_Ucz4L6w9EmvAS2gHg,taqueria coatzingo,4.0,525,Mexican,Queens,56.0,C
F6pKMoQzeQ1Hm08abvhbnA,teriyaki r us,3.5,6,Seafood; Noodles; Ramen,Queens,56.0,C
8tcFpd0dcmfzbLgbTO4tdw,sen sakana,4.1,355,Japanese; Peruvian; Kosher,Manhattan,55.0,C
xzN2k19JXDYjOWAhNw62aw,adoro lei,4.4,429,Italian; Pizza; Lounges,Manhattan,55.0,C
AudBWxeAr3zHr1ITrTcVpg,izakaya fuku,4.4,364,Japanese,Queens,53.0,C
62dhOUChlqsVkszPxqwq9Q,stamatis restaurant,4.0,543,Greek; Mediterranean,Queens,53.0,C
Wc_vQmkP7tb8eQQfwd39Qw,hainan chicken house,3.6,102,Hainan; Malaysian,Brooklyn,53.0,C
WdaLydR9O57rWbTnQQQ1OQ,ruma's kitchen,4.0,40,Indian; Bangladeshi; Breakfast & Brunch,Queens,53.0,C
nwLErF6zGqZjSLwf-m-TdQ,el gallo negro,3.6,56,Mexican; Breakfast & Brunch; Cocktail Bars,Queens,52.0,C
_c0MxccsmIBZcGLJpb4nSA,nana thai street,4.3,253,Thai,Manhattan,51.0,C
