name,name,borough,rating,review_count,categories_list,GRADE
11 PARISHES RESTAURANT,11 Parishes Restaurant,Brooklyn,4.0,1,Barbeque; Italian; Caribbean,
12 CHAIRS CAFE,12 Chairs Cafe,Brooklyn,3.9,511,Middle Eastern; Breakfast & Brunch; Mediterranean,A
1468 HYLAN CAFE,1468 Hylan Cafe,Staten Island,3.9,15,Chinese,A
3 GUYS SUSHI,3 Guys Sushi,Staten Island,3.7,88,Japanese; Thai; Sushi Bars,A
3 TIMES,3 Times,Manhattan,4.0,274,Dim Sum; Shanghainese; Noodles,A
345 CANTINA,345 Cantina,Manhattan,4.4,48,Mexican; Cocktail Bars; Breakfast & Brunch,A
375 CHICKEN N FRIES,375 Chicken n Fries,Manhattan,5.0,1,Barbeque; Chicken Wings; Waffles,B
5 BURRO CAFE,5 Burro Cafe,Queens,3.6,1617,Mexican; Cocktail Bars,A
5IVE SPICE,5ive Spice,Brooklyn,4.4,147,Vietnamese; Salad; Tacos,A
66S FUSION,66S Fusion,Brooklyn,3.9,211,Sushi Bars; Japanese; Buffets,C
7 ELEPHANTS,7 Elephants,Manhattan,4.3,69,Thai; Noodles; Comfort Food,A
750 MYRTLE DINER,750 Myrtle Diner,Brooklyn,4.2,135,Tapas Bars; Izakaya,A
8282,8282,Manhattan,4.6,268,Korean,A
88 CANTEEN,88 Canteen,Queens,3.6,161,Hong Kong Style Cafe; Custom Cakes,A
888 HUDSON THAI,888 Hudson Thai,Manhattan,4.3,18,Thai,A
9 JONES,9 Jones,Manhattan,3.1,47,Supper Clubs; Greek; Cocktail Bars,A
969 NYC COFFEE,969 NYC Coffee,Queens,4.5,415,Coffee & Tea; Japanese,A
A BITE OF FUZHOU,A Bite of Fuzhou,Queens,3.0,1,Chinese; Breakfast & Brunch,
A MIX 47,A Mix 47,Brooklyn,3.3,8,Sushi Bars; Chinese; Thai,A
A PASTA BAR,A Pasta Bar,Manhattan,4.0,630,Italian; Bars,A
A-POU'S TASTE,A-Pou's Taste,Brooklyn,4.5,159,Taiwanese; Noodles; Chinese,C
AA CHINESE RESTAURANT,AA Chinese Restaurant,Bronx,2.5,43,Chinese,B
ABA TURKISH RESTAURANT,ABA Turkish Restaurant,Manhattan,4.1,649,Turkish; Mediterranean; Middle Eastern,A
ABAITA,Abaita,Manhattan,4.3,149,Mediterranean; Kosher; Pizza,A
ABRACADABRA MAGIC DINER,Abracadabra Magic Diner,Queens,4.3,12,Vegetarian; Turkish; Indian,A
ABSOLUTTO CUISINE & BAR,Absolutto Cuisine & Bar,Bronx,4.0,22,Italian; Seafood; Cocktail Bars,
ACADIA,Acadia,Manhattan,4.1,81,Mediterranean,A
ACHILLES HEEL,Achilles Heel,Brooklyn,3.6,101,Seafood; Cocktail Bars,A
ACRE,ACRE,Brooklyn,4.4,194,Breakfast & Brunch; Japanese; Coffee & Tea,A
ACRU,ACRU,Manhattan,4.1,17,Wine Bars; Seafood,
ADAM'S CHICKEN & POCHA,Adam's Chicken & Pocha,Queens,4.5,32,Korean,
ADOBO MEXICAN GRILL,Adobo Mexican Grill,Brooklyn,4.3,13,Halal; Tacos,A
ADORO LEI,Adoro Lei,Manhattan,4.4,429,Italian; Pizza; Lounges,A
ADRIA,Adria,Manhattan,4.8,4,Desserts; Mediterranean; Salad,A
ADYAR ANANDA BHAVAN,Adyar Ananda Bhavan,Manhattan,3.7,427,Indian; Vegetarian,A
AERONUOVA,AeroNuova,Queens,2.8,277,Italian; Bars; American,A
AGORA TAVERNA,Agora Taverna,Queens,3.6,741,Greek; Seafood; Mediterranean,A
AGRA TAJ MAHAL,Agra Taj Mahal,Brooklyn,3.6,168,Indian,A
AHIMSA,Ahimsa,Manhattan,4.4,256,Indian; Vegetarian; Kosher,A
