Id,Label,BOROUGH,categories_list,SCORE,GRADE
0,dosa royale,Brooklyn,Indian; Vegetarian; Vegan,108.0,C
1,gammeeok,Manhattan,Korean,79.0,C
2,nishida sho-ten,Manhattan,Ramen,73.0,C
3,the graham,Brooklyn,Cocktail Bars; Sandwiches; Burgers,73.0,C
4,cava,Manhattan,Mediterranean; Salad,71.0,C
5,master wok,Brooklyn,Chinese,70.0,C
6,the halal bros of ny,Queens,Mediterranean,67.0,C
7,han dynasty,Manhattan,"Szechuan; Beer, Wine & Spirits",65.0,C
8,radhuni sweets & restaurant,Brooklyn,Bangladeshi; Pakistani; Indian,65.0,C
9,sambak sambabjip,Queens,Korean; Barbeque,65.0,C
10,trinidad golden place,Brooklyn,Chinese; Trinidadian,63.0,C
11,baar baar,Manhattan,Gastropubs; Indian; Cocktail Bars,62.0,C
12,casa publica,Brooklyn,Mexican; Cocktail Bars; Breakfast & Brunch,62.0,C
13,chairman sun,Queens,Szechuan; Dim Sum; Seafood,61.0,C
14,corthaiyou,Brooklyn,Thai,61.0,C
15,tamarind island,Queens,Caribbean; Indian,60.0,C
16,mala project,Manhattan,Dim Sum; Szechuan,59.0,C
17,rosa's pizza,Brooklyn,Pizza; Italian,59.0,C
18,blazin chicken & gyro,Bronx,Chicken Shop; Mediterranean,59.0,C
19,rintintin,Manhattan,Mediterranean,56.0,C
20,taqueria coatzingo,Queens,Mexican,56.0,C
21,teriyaki r us,Queens,Seafood; Noodles; Ramen,56.0,C
22,sen sakana,Manhattan,Japanese; Peruvian; Kosher,55.0,C
23,adoro lei,Manhattan,Italian; Pizza; Lounges,55.0,C
24,izakaya fuku,Queens,Japanese,53.0,C
25,stamatis restaurant,Queens,Greek; Mediterranean,53.0,C
26,hainan chicken house,Brooklyn,Hainan; Malaysian,53.0,C
27,ruma's kitchen,Queens,Indian; Bangladeshi; Breakfast & Brunch,53.0,C
28,el gallo negro,Queens,Mexican; Breakfast & Brunch; Cocktail Bars,52.0,C
29,nana thai street,Manhattan,Thai,51.0,C
30,the greek kitchen,Manhattan,Greek; Mediterranean,51.0,C
31,mezeh,Manhattan,Mediterranean; Salad; Halal,51.0,C
32,bravo african restaurant,Bronx,Senegalese,51.0,C
33,long acre tavern,Manhattan,Sports Bars; Pubs; Burgers,50.0,C
34,la palina restaurant,Brooklyn,Italian,50.0,C
35,mr. sun,Manhattan,Dim Sum; Seafood,49.0,C
36,punjabi dhaba catering & sweets,Queens,Caterers; Indian,48.0,C
37,zutto japanese american pub,Manhattan,Sushi Bars; Ramen; Cocktail Bars,47.0,C
38,forever thai,Brooklyn,Thai,47.0,C
