id,name,rating,review_count,address,phone,latitude,longitude,categories_list
16ZnHpuaaBt92XWeJHCC5A,Olio e Più,4.5,6384,"3 Greenwich Ave, New York, NY 10014",(212) 243-6546,40.73406231935954,-73.99999980859876,Pizza; Italian; Cocktail Bars
hdiuRS9sVZSMReZm4oV5SA,Da Andrea - Greenwich Village,4.4,2503,"35 W 13th St, New York, NY 10011",(212) 367-1979,40.736287,-73.995865,Italian; Mediterranean; Breakfast & Brunch
dEOv8_ivdHp85OK_TDQh_g,Da Andrea - Chelsea,4.7,480,"160 8th Ave, New York, NY 10011",(212) 354-5971,40.742041,-74.000467,Italian; Wine Bars; Cocktail Bars
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,4.4,533,"106 E 60th St, New York, NY 10022",(646) 707-3997,40.763174,-73.969046,Sicilian
LUjq-_hs89D5N1UGcmKAQw,Spiga,4.8,85,"57 W 84th St, New York, NY 10024",(212) 874-0008,40.7850762472345,-73.9728921619309,Food Delivery Services; Italian; Personal Chefs
5CuYWr0-cE01HxlBu5Ka6g,Carne Mare,4.4,321,"89 South St, Pier 17, New York, NY 10038",(212) 280-4600,40.70568649199326,-74.00218961453646,Steakhouses; Italian; Seafood
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,4.1,2857,"254 West 47th St, New York, NY 10036",(212) 997-4540,40.759876,-73.986767,Italian
CIzl1SAhtNUGEkLgvTB9zQ,Rosemary's -  Midtown,4.1,93,"825 Third Ave, New York, NY 10022",(212) 870-6137,40.75588334611095,-73.97014955612765,Italian; Venues & Event Spaces; Cocktail Bars
WG639VkTjmK5dzydd1BBJA,Rubirosa,4.3,3527,"235 Mulberry St, New York, NY 10012",(212) 965-0500,40.722766,-73.996233,Italian; Pizza
22nKUyCIbpnzR6R3_g1ptQ,Carmine's - Time Square,4.0,5234,"200 W 44th St, New York, NY 10036",(212) 221-3800,40.75747,-73.9866,Italian; Venues & Event Spaces
Qi7pmy2BuR5Oz2ouXa2u4A,The Frenchman's Dough,4.0,78,"96 South St, New York, NY 10038",(646) 868-6000,40.706116183284095,-74.00233246386051,Italian; Pizza
LkV96_buOU_n0br4SBO57w,Ci Siamo,4.4,652,"440 West 33rd St, Ste 100, New York, NY 10001",(212) 219-6559,40.75240549384363,-73.9982864846782,Italian; Bars; Pizza
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,4.1,2408,"88 Madison Ave, New York, NY 10016",(212) 691-0555,40.744509,-73.9856,Italian; Bars; Desserts
CxvjELoFzpQz-8X4UCcB6A,Foodance,4.7,24,"468 W 47th St, New York, NY 10036",(646) 422-7755,40.76257393400002,-73.99281200061166,Italian; Cooking Classes
5F9kZPnAleDYqCeCyvGJPA,Bad Roman,4.0,768,"10 Columbus Cir, New York, NY 10019",(212) 970-2033,40.768494,-73.983072,New American; Italian
NlmP5x_Ykznd55Dc85ChUg,Nittis,4.3,450,"523 9th Ave, New York, NY 10018",(212) 517-0939,40.7567,-73.99411,Italian; Cocktail Bars; Breakfast & Brunch
dc3hkLkAqCSxDWQzrx-g9A,Quality Italian,4.0,1603,"57 W 57th St, New York, NY 10019",(212) 390-1111,40.76449,-73.976705,Italian; Steakhouses
