Source,Target,Weight
AKINO,BAODEGA,1
AKINO,BARRIO TAQUERIA,1
AKINO,CHICK IT OUT,1
AKINO,CUTS & SLICES,1
AKINO,FU YUAN KITCHEN,1
AKINO,FUMO,1
AKINO,GEN KOREAN BBQ HOUSE,1
AKINO,GOKU KITCHEN,1
AKINO,IBN HAMIDO SEAFOOD,1
AKINO,KABABISH,1
AKINO,LOS TACOS NO.1,1
AKINO,MALECON RESTAURANT,1
AKINO,MAYAHUEL,1
AKINO,MOMO CRAVE,1
AKINO,OBENTOYASAN,1
AKINO,PECKING HOUSE,1
AKINO,PELICANA CHICKEN,1
AKINO,RAISING CANE'S CHICKEN FINGERS,1
AKINO,RAVAGH PERSIAN GRILL,1
AKINO,RULE OF THIRDS,1
AKINO,SHANGHAI YOU GARDEN,1
AKINO,SUPER BURRITO,1
AKINO,SUPER TASTE,1
AKINO,SUSURU RAMEN,1
AKINO,TAMARIND ISLAND,1
AKINO,TAVERNA KYCLADES,1
AKINO,TOKUYAMATCHA & ONIGIRAZU BAR,1
AKINO,TRAPIZZINO,1
AKINO,WHITE BEAR,1
BAODEGA,BARRIO TAQUERIA,1
BAODEGA,CHICK IT OUT,1
BAODEGA,CUTS & SLICES,1
BAODEGA,FU YUAN KITCHEN,1
BAODEGA,FUMO,1
BAODEGA,GEN KOREAN BBQ HOUSE,1
BAODEGA,GOKU KITCHEN,1
BAODEGA,IBN HAMIDO SEAFOOD,1
BAODEGA,KABABISH,1
BAODEGA,LOS TACOS NO.1,1
BAODEGA,MALECON RESTAURANT,1
BAODEGA,MAYAHUEL,1
BAODEGA,MOMO CRAVE,1
BAODEGA,OBENTOYASAN,1
BAODEGA,PECKING HOUSE,1
BAODEGA,PELICANA CHICKEN,1
BAODEGA,RAISING CANE'S CHICKEN FINGERS,1
BAODEGA,RAVAGH PERSIAN GRILL,1
BAODEGA,RULE OF THIRDS,1
BAODEGA,SHANGHAI YOU GARDEN,1
BAODEGA,SUPER BURRITO,1
BAODEGA,SUPER TASTE,1
BAODEGA,SUSURU RAMEN,1
BAODEGA,TAMARIND ISLAND,1
BAODEGA,TAVERNA KYCLADES,1
BAODEGA,TOKUYAMATCHA & ONIGIRAZU BAR,1
BAODEGA,TRAPIZZINO,1
BAODEGA,WHITE BEAR,1
BARRIO TAQUERIA,CHICK IT OUT,1
BARRIO TAQUERIA,CUTS & SLICES,1
BARRIO TAQUERIA,FU YUAN KITCHEN,1
BARRIO TAQUERIA,FUMO,1
BARRIO TAQUERIA,GEN KOREAN BBQ HOUSE,1
BARRIO TAQUERIA,GOKU KITCHEN,1
BARRIO TAQUERIA,IBN HAMIDO SEAFOOD,1
BARRIO TAQUERIA,KABABISH,1
BARRIO TAQUERIA,LOS TACOS NO.1,1
BARRIO TAQUERIA,MALECON RESTAURANT,1
BARRIO TAQUERIA,MAYAHUEL,1
BARRIO TAQUERIA,MOMO CRAVE,1
BARRIO TAQUERIA,OBENTOYASAN,1
BARRIO TAQUERIA,PECKING HOUSE,1
BARRIO TAQUERIA,PELICANA CHICKEN,1
BARRIO TAQUERIA,RAISING CANE'S CHICKEN FINGERS,1
BARRIO TAQUERIA,RAVAGH PERSIAN GRILL,1
BARRIO TAQUERIA,RULE OF THIRDS,1
BARRIO TAQUERIA,SHANGHAI YOU GARDEN,1
BARRIO TAQUERIA,SUPER BURRITO,1
BARRIO TAQUERIA,SUPER TASTE,1
BARRIO TAQUERIA,SUSURU RAMEN,1
BARRIO TAQUERIA,TAMARIND ISLAND,1
BARRIO TAQUERIA,TAVERNA KYCLADES,1
BARRIO TAQUERIA,TOKUYAMATCHA & ONIGIRAZU BAR,1
BARRIO TAQUERIA,TRAPIZZINO,1
BARRIO TAQUERIA,WHITE BEAR,1
CHICK IT OUT,CUTS & SLICES,1
CHICK IT OUT,FU YUAN KITCHEN,1
CHICK IT OUT,FUMO,1
CHICK IT OUT,GEN KOREAN BBQ HOUSE,1
CHICK IT OUT,GOKU KITCHEN,1
CHICK IT OUT,IBN HAMIDO SEAFOOD,1
CHICK IT OUT,KABABISH,1
CHICK IT OUT,LOS TACOS NO.1,1
CHICK IT OUT,MALECON RESTAURANT,1
CHICK IT OUT,MAYAHUEL,1
CHICK IT OUT,MOMO CRAVE,1
CHICK IT OUT,OBENTOYASAN,1
CHICK IT OUT,PECKING HOUSE,1
CHICK IT OUT,PELICANA CHICKEN,1
CHICK IT OUT,RAISING CANE'S CHICKEN FINGERS,1
CHICK IT OUT,RAVAGH PERSIAN GRILL,1
CHICK IT OUT,RULE OF THIRDS,1
CHICK IT OUT,SHANGHAI YOU GARDEN,1
CHICK IT OUT,SUPER BURRITO,1
CHICK IT OUT,SUPER TASTE,1
CHICK IT OUT,SUSURU RAMEN,1
CHICK IT OUT,TAMARIND ISLAND,1
CHICK IT OUT,TAVERNA KYCLADES,1
CHICK IT OUT,TOKUYAMATCHA & ONIGIRAZU BAR,1
CHICK IT OUT,TRAPIZZINO,1
CHICK IT OUT,WHITE BEAR,1
CUTS & SLICES,FU YUAN KITCHEN,1
CUTS & SLICES,FUMO,1
CUTS & SLICES,GEN KOREAN BBQ HOUSE,1
CUTS & SLICES,GOKU KITCHEN,1
CUTS & SLICES,IBN HAMIDO SEAFOOD,1
CUTS & SLICES,KABABISH,1
CUTS & SLICES,LOS TACOS NO.1,1
CUTS & SLICES,MALECON RESTAURANT,1
CUTS & SLICES,MAYAHUEL,1
CUTS & SLICES,MOMO CRAVE,1
CUTS & SLICES,OBENTOYASAN,1
CUTS & SLICES,PECKING HOUSE,1
CUTS & SLICES,PELICANA CHICKEN,1
CUTS & SLICES,RAISING CANE'S CHICKEN FINGERS,1
