Source,Target,Weight
bao_buddy,johnnyeatsnyc,2
johnnyeatsnyc,nycfoodie.nyc,1
glamorousgrub,tedweitz,2
cindy_food_drink,nycmouth,3
cindy_food_drink,tedweitz,4
nycmouth,tedweitz,2
comicsinmybirkin,tedweitz,6
cindy_food_drink,comicsinmybirkin,4
cindy_food_drink,itsasugarhighh,1
cindy_food_drink,tastynybites,1
cindy_food_drink,tofueeats,2
cindy_food_drink,travelicious_d,1
comicsinmybirkin,itsasugarhighh,1
comicsinmybirkin,tastynybites,6
comicsinmybirkin,tofueeats,2
comicsinmybirkin,travelicious_d,3
itsasugarhighh,tastynybites,1
itsasugarhighh,tedweitz,1
itsasugarhighh,tofueeats,1
itsasugarhighh,travelicious_d,1
tastynybites,tedweitz,1
tastynybites,tofueeats,3
tastynybites,travelicious_d,1
tedweitz,tofueeats,1
tedweitz,travelicious_d,1
tofueeats,travelicious_d,1
jerica.feasts,johnnyeatsnyc,3
comicsinmybirkin,foodieee.nycc,3
comicsinmybirkin,outwithair_foodie_nyc,1
foodieee.nycc,outwithair_foodie_nyc,1
foodieee.nycc,tedweitz,3
outwithair_foodie_nyc,tedweitz,1
foodieee.nycc,spinx17,4
spinx17,tedweitz,2
cindy_food_drink,spinx17,6
cindy_food_drink,the_fork_lift,1
spinx17,the_fork_lift,1
cindy_food_drink,feastwithfoo,5
feastwithfoo,spinx17,1
food_ilysm,spinx17,1
food_ilysm,thequeenfoodie,4
food_ilysm,worldeatsjen,2
spinx17,thequeenfoodie,2
spinx17,worldeatsjen,1
thequeenfoodie,worldeatsjen,1
feastwithfoo,johnnyeatsnyc,1
feastwithfoo,food_ilysm,1
feastwithfoo,thequeenfoodie,2
cindy_food_drink,whatsgoinganh,2
feastwithfoo,whatsgoinganh,3
fooddrinksnyc,muslimfoodies,1
fooddrinksnyc,tastynybites,5
muslimfoodies,tastynybites,1
feastwithfoo,foodieee.nycc,1
cindy_food_drink,fahfahji,4
cindy_food_drink,glamorousgrub,3
cindy_food_drink,jerica.feasts,4
feastwithfoo,glamorousgrub,2
feastwithfoo,jerica.feasts,5
glamorousgrub,jerica.feasts,1
food_ilysm,jerica.feasts,2
jerica.feasts,thehungryskipper,2
itsasugarhighh,thequeenfoodie,2
airlinkadventures,comicsinmybirkin,3
airlinkadventures,muslimfoodies,1
airlinkadventures,travelicious_d,1
comicsinmybirkin,muslimfoodies,1
muslimfoodies,travelicious_d,1
comicsinmybirkin,fahfahji,5
glamorousgrub,thequeenfoodie,2
bao_buddy,feastwithfoo,3
bao_buddy,jerica.feasts,4
bao_buddy,comicsinmybirkin,4
bao_buddy,tedweitz,2
comicsinmybirkin,feastwithfoo,1
feastwithfoo,tedweitz,1
glamorousgrub,spinx17,2
airlinkadventures,foodieee.nycc,3
airlinkadventures,spinx17,4
airlinkadventures,tastynybites,1
airlinkadventures,thehungryskipper,2
airlinkadventures,thequeenfoodie,1
comicsinmybirkin,spinx17,2
comicsinmybirkin,thehungryskipper,2
comicsinmybirkin,thequeenfoodie,1
foodieee.nycc,tastynybites,1
foodieee.nycc,thehungryskipper,1
foodieee.nycc,thequeenfoodie,1
spinx17,tastynybites,1
spinx17,thehungryskipper,1
tastynybites,thehungryskipper,2
tastynybites,thequeenfoodie,1
thehungryskipper,thequeenfoodie,1
bao_buddy,thequeenfoodie,2
jerica.feasts,thequeenfoodie,2
johnnyeatsnyc,thequeenfoodie,2
airlinkadventures,cindy_food_drink,1
airlinkadventures,glamorousgrub,1
airlinkadventures,johnnyeatsnyc,1
airlinkadventures,nycmouth,1
airlinkadventures,tedweitz,1
cindy_food_drink,foodieee.nycc,4
cindy_food_drink,johnnyeatsnyc,3
comicsinmybirkin,glamorousgrub,1
comicsinmybirkin,johnnyeatsnyc,1
comicsinmybirkin,nycmouth,3
foodieee.nycc,glamorousgrub,2
foodieee.nycc,johnnyeatsnyc,1
foodieee.nycc,nycmouth,1
glamorousgrub,johnnyeatsnyc,1
glamorousgrub,nycmouth,2
johnnyeatsnyc,nycmouth,1
johnnyeatsnyc,spinx17,1
johnnyeatsnyc,tedweitz,1
nycmouth,spinx17,1
cindy_food_drink,thehungryskipper,2
feastwithfoo,thehungryskipper,1
cindy_food_drink,thequeenfoodie,4
fahfahji,tastynybites,4
fahfahji,worldeatsjen,2
tastynybites,worldeatsjen,4
johnnyeatsnyc,taleitalei,1
fahfahji,travelicious_d,1
fahfahji,nycmouth,2
fahfahji,tofueeats,1
nycmouth,tofueeats,2
opentable,thequeenfoodie,1
bao_buddy,chungeats,1
bao_buddy,fahfahji,3
bao_buddy,fooddrinksnyc,2
bao_buddy,nycmouth,1
bao_buddy,piano_pastries,1
bao_buddy,tastynybites,4
bao_buddy,theeoverthinker,1
bao_buddy,thehungryskipper,1
bao_buddy,worldeatsjen,2
chungeats,comicsinmybirkin,1
chungeats,fahfahji,1
chungeats,fooddrinksnyc,1
chungeats,jerica.feasts,1
chungeats,nycmouth,1
chungeats,piano_pastries,1
chungeats,tastynybites,2
chungeats,theeoverthinker,1
chungeats,thehungryskipper,1
chungeats,worldeatsjen,1
comicsinmybirkin,fooddrinksnyc,1
comicsinmybirkin,jerica.feasts,2
comicsinmybirkin,piano_pastries,1
comicsinmybirkin,theeoverthinker,1
comicsinmybirkin,worldeatsjen,2
fahfahji,fooddrinksnyc,1
fahfahji,jerica.feasts,3
fahfahji,piano_pastries,1
fahfahji,theeoverthinker,1
fahfahji,thehungryskipper,1
fooddrinksnyc,jerica.feasts,1
fooddrinksnyc,nycmouth,1
fooddrinksnyc,piano_pastries,1
fooddrinksnyc,theeoverthinker,1
fooddrinksnyc,thehungryskipper,1
fooddrinksnyc,worldeatsjen,2
jerica.feasts,nycmouth,1
jerica.feasts,piano_pastries,1
jerica.feasts,tastynybites,1
jerica.feasts,theeoverthinker,1
jerica.feasts,worldeatsjen,3
nycmouth,piano_pastries,1
nycmouth,tastynybites,1
nycmouth,theeoverthinker,1
nycmouth,thehungryskipper,2
nycmouth,worldeatsjen,1
piano_pastries,tastynybites,1
piano_pastries,theeoverthinker,1
piano_pastries,thehungryskipper,1
piano_pastries,worldeatsjen,1
tastynybites,theeoverthinker,1
theeoverthinker,thehungryskipper,2
theeoverthinker,worldeatsjen,1
thehungryskipper,worldeatsjen,1
airlinkadventures,chungeats,1
chungeats,spinx17,1
maxhoffmann,tedweitz,1
bao_buddy,whatsgoinganh,3
fahfahji,whatsgoinganh,1
jerica.feasts,whatsgoinganh,2
glamorousgrub,the_fork_lift,1
glamorousgrub,thehungryskipper,1
nycmouth,the_fork_lift,1
the_fork_lift,thehungryskipper,1
chungeats,feastwithfoo,1
chungeats,tofueeats,1
chungeats,whatsgoinganh,1
feastwithfoo,tastynybites,1
feastwithfoo,tofueeats,2
tastynybites,whatsgoinganh,2
tofueeats,whatsgoinganh,1
thequeenfoodie,tofueeats,1
bao_buddy,tofueeats,1
comicsinmybirkin,whatsgoinganh,2
foodieee.nycc,piano_pastries,1
foodieee.nycc,tofueeats,1
piano_pastries,tofueeats,1
bao_buddy,cindy_food_drink,4
foodieee.nycc,travelicious_d,1
glamorousgrub,travelicious_d,1
theeoverthinker,travelicious_d,1
travelicious_d,whatsgoinganh,1
travelicious_d,worldeatsjen,1
whatsgoinganh,worldeatsjen,3
ariels_eats,thequeenfoodie,1
fooddrinksnyc,tofueeats,1
chi_restaurant_bar,cindy_food_drink,1
chi_restaurant_bar,fooddrinksnyc,1
cindy_food_drink,fooddrinksnyc,1
fooddrinksnyc,foodieee.nycc,1
cindy_food_drink,worldeatsjen,1
bao_buddy,erhotpot,1
bao_buddy,threehotpotbbq,1
erhotpot,fooddrinksnyc,1
erhotpot,threehotpotbbq,1
erhotpot,whatsgoinganh,1
fooddrinksnyc,threehotpotbbq,1
fooddrinksnyc,whatsgoinganh,1
threehotpotbbq,whatsgoinganh,1
5ivespicenyc,fooddrinksnyc,1
glamorousgrub,itsasugarhighh,1
fooddrinksnyc,foodystars,1
jerica.feasts,travelicious_d,1
taleitalei,thehungryskipper,2
itsasugarhighh,taleitalei,1
airlinkadventures,bao_buddy,1
food_ilysm,the_fork_lift,1
food_ilysm,taleitalei,1
food_ilysm,thehungryskipper,1
fooddrinksnyc,travelicious_d,1
johnnyeatsnyc,thehungryskipper,1
fooddrinksnyc,zuttonyc,1
airlinkadventures,newyorkcity.adventures,1
