Source,Target,Weight
Pecking House,Ibn Hamido Seafood,1
Pecking House,Fu Yuan Kitchen,1
Pecking House,White Bear,1
Pecking House,Akino,1
Pecking House,Okiboru House Of Udon,1
Pecking House,Taberu Nomu,1
Pecking House,Fumo,1
Pecking House,Super Taste,2
Pecking House,Lunar,1
Pecking House,Sappe,1
Pecking House,Gen Korean Bbq House,1
Pecking House,Kababish,1
Pecking House,Barrio Taqueria,1
Pecking House,Yezo Thai Isankaya,1
Pecking House,Kyuramen,1
Pecking House,Chili,1
Pecking House,Uluh,1
Pecking House,Shanghai You Garden,1
Pecking House,Ygf Malatang,1
Pecking House,Cuts & Slices,1
Pecking House,Taverna Kyclades,1
Pecking House,Tamarind Island,1
Pecking House,Rule Of Thirds,1
Pecking House,Super Burrito,1
Pecking House,Antidote,1
Pecking House,Nomad Tea Parlour,1
Pecking House,Los Tacos No.1,1
Pecking House,Tokuyamatcha & Onigirazu Bar,1
Pecking House,Goku Kitchen,1
Pecking House,Ravagh Persian Grill,1
Pecking House,Jiang Nan,1
Pecking House,Chalong,1
Pecking House,Baodega,1
Pecking House,Er Hotpot,1
Pecking House,Malecon Restaurant,1
Pecking House,Momo Crave,1
Pecking House,Mayahuel,1
Pecking House,Pelicana Chicken,1
Pecking House,Chick It Out,1
Pecking House,Yoon Haeundae Galbi,1
Pecking House,Shoo Loong Kan,1
Pecking House,Sea,1
Pecking House,Sopo,1
Pecking House,Dai Hachi Sushi,1
Pecking House,Kochi,1
Pecking House,Susuru Ramen,1
Pecking House,Obentoyasan,1
Pecking House,Tha Phraya,1
Pecking House,Raising Cane's Chicken Fingers,1
Pecking House,Flor De Mayo,1
Pecking House,Trapizzino,1
Pecking House,Nami Nori,1
Pecking House,Wayla,1
Pecking House,Olle,1
Pecking House,Baby's Buns & Buckets,1
Pecking House,Kanyakumari,1
Pecking House,Syko,1
Ibn Hamido Seafood,Fu Yuan Kitchen,1
Ibn Hamido Seafood,White Bear,1
Ibn Hamido Seafood,Akino,1
Ibn Hamido Seafood,Fumo,1
Ibn Hamido Seafood,Super Taste,1
Ibn Hamido Seafood,Gen Korean Bbq House,1
Ibn Hamido Seafood,Kababish,1
Ibn Hamido Seafood,Barrio Taqueria,1
Ibn Hamido Seafood,Shanghai You Garden,1
Ibn Hamido Seafood,Carnitas Ramirez,1
Ibn Hamido Seafood,Cuts & Slices,1
Ibn Hamido Seafood,Taverna Kyclades,1
Ibn Hamido Seafood,Tamarind Island,1
Ibn Hamido Seafood,Rule Of Thirds,1
Ibn Hamido Seafood,Super Burrito,1
Ibn Hamido Seafood,Patsy's Italian Restaurant,1
Ibn Hamido Seafood,Los Tacos No.1,1
Ibn Hamido Seafood,Tokuyamatcha & Onigirazu Bar,1
Ibn Hamido Seafood,Goku Kitchen,1
Ibn Hamido Seafood,Mark's Off Madison,1
